,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
56,"Saturday September 28, 2024",Serie A ,6,04eea015,Udinese,Kosta Runjaić,3-5-2,2,0.8,2.2,3,Internazionale,Simone Inzaghi,3-5-2,d609edc0,DWWWL,2.0,7,WW,3.0,6,1.5,0.9,0.5,1.4500000000000002,DWWDL,6.0,2,DD,1.0,1,1.5,1.7999999999999998,1.5,1.1500000000000001
57,"Sunday August 18, 2024",Serie A ,1,0e72edf2,Hellas Verona,Paolo Zanetti,3-4-3,3,1.7,1.0,0,Napoli,Antonio Conte,3-4-3,d48ad4ff,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
58,"Sunday August 18, 2024",Serie A ,1,c4260e09,Cagliari,Davide Nicola,3-5-2,0,1.0,0.9,0,Roma,Daniele De Rossi,4-2-3-1,cf74a709,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
59,"Sunday August 18, 2024",Serie A ,1,7213da33,Lazio,Marco Baroni,4-3-3,3,2.4,0.6,1,Venezia,Eusebio Di Francesco,3-4-3,af5d5982,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
60,"Sunday August 18, 2024",Serie A ,1,1d8099f8,Bologna,Vincenzo Italiano,4-2-3-1,1,3.2,0.9,1,Udinese,Kosta Runjaić,3-4-3,04eea015,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
61,"Sunday August 25, 2024",Serie A ,2,d48ad4ff,Napoli,Antonio Conte,3-4-3,3,2.5,0.6,0,Bologna,Vincenzo Italiano,4-3-3,1d8099f8,L,17.0,0,,1.0,0,,,,,D,5.0,-2,,12.0,0,,,,
62,"Sunday August 25, 2024",Serie A ,2,cf74a709,Roma,Daniele De Rossi,4-3-2-1,1,2.1,2.7,2,Empoli,Roberto D'Aversa,3-4-3,a3d88bd8,D,5.0,1,,17.0,0,,,,,D,5.0,-2,,1.0,0,,,,
63,"Sunday August 25, 2024",Serie A ,2,105360fe,Torino,Paolo Vanoli,3-5-2,2,2.4,3.0,1,Atalanta,Gian Piero Gasperini,3-4-3,922493f3,D,5.0,1,,1.0,3,,,,,W,1.0,0,W,1.0,0,4.0,1.7,0.0,1.5
64,"Sunday August 25, 2024",Serie A ,2,421387cf,Fiorentina,Raffaele Palladino,3-4-3,0,0.9,0.6,0,Venezia,Eusebio Di Francesco,3-4-3,af5d5982,D,5.0,1,,9.0,-2,,,,,L,17.0,0,L,12.0,0,1.0,0.6,3.0,2.4
65,"Sunday November 10, 2024",Serie A ,12,922493f3,Atalanta,Gian Piero Gasperini,3-4-3,2,0.9,0.8,1,Udinese,Kosta Runjaić,3-5-2,04eea015,WWWWW,3.0,-9,WWW,2.0,-1,4.333333333333333,2.4,0.6666666666666666,0.3333333333333333,WLWLL,9.0,7,LLL,15.0,1,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.7999999999999998
